Date,NIFTY,ETF,Variance
2019-10-15,114.28299805,120.150002,48.83066044393406
2019-10-16,114.64,120.260002,46.732096345716
2019-10-17,115.86349609000001,121.550003,46.78327247758268
2019-10-18,116.61849609000001,122.379997,47.078779630955495
2019-10-22,115.88349609000001,121.779999,48.4193049632066
2019-10-23,116.04099609000001,121.910004,48.142135324677646
2019-10-24,115.82599609,121.739998,48.57895520911702
2019-10-25,115.83900390999999,121.889999,49.64308097172119
2019-10-29,117.86849609000001,124.239998,51.28382173670022
2019-10-30,118.44099609000001,124.66999799999999,49.96392083041487
2019-10-31,118.77450195,124.849998,48.66236401541631
2019-11-01,118.90599609,125.260002,50.726535275003414
2019-11-04,119.41299805,125.550003,48.880962193206834
2019-11-05,119.17200195,125.18,47.99487178463022
2019-11-06,119.66049805,125.839996,49.10599289910974
2019-11-07,120.12049805000001,126.309998,49.00245465921063
2019-11-08,119.08150391,125.459999,50.84086673713429
2019-11-11,119.13450195,125.360001,49.66096841368083
2019-11-13,118.40450195,124.379997,48.04225111856215
2019-11-14,118.72099609000001,124.660004,47.64164703540349
2019-11-15,118.95450195,125.260002,50.33929386333561
2019-11-18,118.845,125.33000200000001,51.743412562939305
2019-11-19,119.40099609,125.360001,47.5351377031338
2019-11-20,119.99099609000001,126.190002,49.12438237381117
2019-11-21,119.68400390999999,125.690002,47.784215088166036
2019-11-22,119.14400391,125.129997,47.838194146204664
2019-11-25,120.7375,127.279999,51.402412408881354
2019-11-26,120.37700195,126.699997,49.90525019507304
2019-11-27,121.00700194999999,127.470001,50.70211813993794
2019-11-28,121.51150390999999,127.980003,50.543045306851646
2019-11-29,120.56049805,126.93,50.181217600252104
2019-12-02,120.48200195,126.910004,50.65008153336756
2019-12-03,119.94200194999999,126.139999,49.13585777022253
2019-12-04,120.43200195,126.470001,47.742539750592684
2019-12-05,120.18400390999999,126.410004,49.25243171418627
2019-12-06,119.215,125.550003,50.458007555762464
2019-12-09,119.375,125.339996,47.59052329952204
2019-12-10,118.56799805,125.209999,53.046889250434354
2019-12-11,119.10150390999999,125.07,47.721244822899195
2019-12-12,119.71799805,126.050003,50.234072188003026
2019-12-13,120.86700194999999,127.110001,49.11493195566893
2019-12-16,120.53950194999999,127.25,52.734758742632714
2019-12-17,121.65,127.870003,48.64317552256561
2019-12-18,122.21650390999999,128.470001,48.67671083773099
2019-12-19,122.59700194999999,128.630005,46.90198877003868
2019-12-20,122.71799805,129.270004,50.68465805880221
2019-12-23,122.6275,128.96000700000002,49.104425064121
2019-12-24,122.14549805,129.0,53.135674031007746
2019-12-26,121.26549805,127.75,50.75931076320935
2019-12-27,122.45799805,128.889999,49.90302583523171
2019-12-30,122.55849609,129.190002,51.33141734915359
2019-12-31,121.68450195,128.600006,53.775301145786955
2020-01-01,121.825,128.419998,51.35491436466141
2020-01-02,122.82200195,129.119995,48.776280157073955
2020-01-03,122.26650391,128.529999,48.731775762326166
2020-01-06,119.93049805000001,126.400002,51.182783604702706
2020-01-07,120.52950195,126.83000200000001,49.67673224510404
2020-01-08,120.25349609000001,126.730003,51.104764118091154
2020-01-09,122.15900391,128.580002,49.93776629432633
2020-01-10,122.56799805,129.0,49.86048023255814
2020-01-13,123.29549805,130.029999,51.79190188258017
2020-01-14,123.62299805,130.020004,49.200167306563024
2020-01-15,123.43299805000001,130.21000700000002,52.0467597394416
2020-01-16,123.555,129.850006,48.47905821429073
2020-01-17,123.52349609000001,130.16000400000001,50.98730567033484
2020-01-20,122.24549805000001,129.050003,52.727662083045395
2020-01-21,121.69849609,128.33999599999999,51.74926069033055
2020-01-22,121.06900390999999,127.660004,51.62932698952452
2020-01-23,121.80349609000001,128.300003,50.635282604007365
2020-01-24,122.4825,129.050003,50.8911495337199
2020-01-27,121.19,127.57,50.01175825037231
2020-01-28,120.55799805000001,127.089996,51.396633532036546
2020-01-29,121.295,128.16000400000001,53.56588472016599
2020-01-30,120.35799805,126.07,45.308177599746074
2020-01-31,119.62099609,126.449997,54.00554426268583
2020-02-03,117.07900391,123.790001,54.21275576207489
2020-02-04,119.79650391,125.940002,48.78114969380426
2020-02-05,120.89150391,127.050003,48.47303380228969
2020-02-06,121.37950194999999,127.949997,51.35205317746124
2020-02-07,120.98349609,127.75,52.966762504892344
2020-02-10,120.315,126.970001,52.41396351568115
2020-02-11,121.07900391,127.599998,51.10497015838513
2020-02-12,122.01200195,128.580002,51.08103863616372
2020-02-13,121.74650390999999,128.320007,51.2274215352873
2020-02-14,121.13450195,128.020004,53.78457924434996
2020-02-17,120.45799805,127.459999,54.9348894157766
2020-02-18,119.925,126.730003,53.69685819387221
2020-02-19,121.25900390999999,127.540001,49.24727176378189
2020-02-20,120.80849609,127.32,51.142820530945556
2020-02-24,118.29400390999999,125.089996,54.32882170689343
2020-02-25,117.97900390999999,124.760002,54.35234034382278
2020-02-26,116.785,123.389999,53.529451766994555
2020-02-27,116.33299805,122.769997,52.43136847189141
2020-02-28,112.0175,119.489998,62.53659825151224
2020-03-02,111.3275,117.66999799999999,53.90072327527355
2020-03-03,113.03299805,119.559998,54.59183722970613
2020-03-04,112.51,118.849998,53.3445360259913
2020-03-05,112.69,119.010002,53.10479702369892
2020-03-06,109.89450194999999,116.32,55.23983880674004
2020-03-09,104.51450195,110.970001,58.1733711077465
2020-03-11,104.58400390999999,110.82,56.271395867172
2020-03-12,95.90150390999999,103.440002,72.87797703252188
2020-03-13,99.55200194999999,105.449997,55.93167584442896
2020-03-16,91.97400391,100.370003,83.65048160853401
2020-03-17,89.67049805,96.279999,68.64874344255027
2020-03-18,84.68799805,94.519997,104.02030535400883
2020-03-19,82.63450195,85.760002,36.4447292107106
2020-03-20,87.45450195,93.209999,61.747635572874565
2020-03-23,77.47350098000001,83.07,67.37088022149973
