Date,Open,High,Low,Close,Adj Close,Volume
9/4/2015,85.900002,85.900002,85.900002,85.900002,83.578384,4
9/7/2015,87,87,87,87,84.648651,2
9/8/2015,85,87.550003,83.650002,85.809998,83.490807,760
9/9/2015,86,87.480003,86,87.089996,84.736214,223
9/10/2015,84,87.480003,84,86.260002,83.92865,589
9/11/2015,87,87,84.699997,86.989998,84.638916,578
9/14/2015,87.400002,88.779999,85,86.919998,84.570808,702
9/15/2015,87,89.989998,86.050003,86.050003,83.724327,346
9/16/2015,85.5,89.75,85.110001,89.5,87.081085,260
9/18/2015,96.699997,96.699997,90,90,87.567566,42
9/21/2015,82.529999,82.970001,82.529999,82.970001,80.72757,1374
9/22/2015,83,83.139999,80.769997,81.5,79.297302,2681
9/23/2015,84,86,84,85.5,83.189194,12
9/24/2015,81.349998,81.400002,81.349998,81.400002,79.200005,79
9/28/2015,85,85,83,83,80.75676,110
9/29/2015,81,87.879997,81,84.699997,82.410812,5336
9/30/2015,89.900002,89.900002,89.900002,89.900002,87.470276,2
10/1/2015,85,86.379997,84.010002,84.010002,81.739464,392
10/5/2015,85.940002,85.949997,83.660004,85.019997,82.72216,779
10/6/2015,85.400002,85.480003,85.400002,85.480003,83.169731,108
10/7/2015,85.900002,85.900002,85.400002,85.400002,83.091896,53
10/8/2015,84.099998,85.669998,84,85.25,82.945946,694
10/9/2015,84.5,86,84.129997,84.129997,81.856216,10618
10/12/2015,84.650002,86.379997,83.599998,83.599998,81.340538,954
10/13/2015,84.5,85.949997,82.5,85.949997,83.627022,551
10/14/2015,83.849998,83.849998,83.739998,83.739998,81.476753,98
10/15/2015,84.349998,84.459999,83.25,83.550003,81.291893,316
10/16/2015,84.300003,84.339996,83.25,84,81.729729,360
10/19/2015,86.5,86.5,86.5,86.5,84.162163,21
10/20/2015,85,85.389999,84.300003,84.940002,82.644325,373
10/21/2015,84.099998,85.25,84.099998,84.300003,82.021629,915
10/23/2015,88.900002,88.900002,88.900002,88.900002,86.497299,5
10/26/2015,83.900002,83.900002,83.260002,83.620003,81.360001,176
10/27/2015,82.599998,83,81.199997,82.970001,80.72757,6497
10/28/2015,83.5,83.529999,83.150002,83.150002,80.902702,5590
10/29/2015,83.190002,83.400002,82.879997,83.400002,81.14595,2520
10/30/2015,83.699997,83.949997,83,83,80.75676,231
11/2/2015,83,83.25,82.099998,83,80.75676,546
11/3/2015,87,87,85.699997,85.699997,83.383781,24
11/4/2015,83.400002,83.480003,82.32,82.32,80.095139,173
